ASN|ORG|COUNTRY|IP
0|-Reserved AS-|ZZ|216.115.212.254
0|-Reserved AS-|ZZ|67.217.66.65
0|-Reserved AS-|ZZ|216.137.33.57
0|-Reserved AS-|ZZ|91.190.218.55
0|-Reserved AS-|ZZ|172.16.125.220
0|-Reserved AS-|ZZ|174.35.22.77
0|-Reserved AS-|ZZ|64.12.239.201
0|-Reserved AS-|ZZ|205.188.93.194
0|-Reserved AS-|ZZ|172.16.133.22
0|-Reserved AS-|ZZ|172.16.133.21
0|-Reserved AS-|ZZ|172.16.133.37
0|-Reserved AS-|ZZ|172.16.128.203
0|-Reserved AS-|ZZ|172.16.133.76
0|-Reserved AS-|ZZ|172.16.133.44
0|-Reserved AS-|ZZ|208.71.125.72
0|-Reserved AS-|ZZ|172.16.128.202
0|-Reserved AS-|ZZ|64.12.249.201
0|-Reserved AS-|ZZ|172.16.131.10
0|-Reserved AS-|ZZ|208.71.125.131
0|-Reserved AS-|ZZ|172.16.133.12
0|-Reserved AS-|ZZ|172.16.133.82
0|-Reserved AS-|ZZ|172.16.133.73
0|-Reserved AS-|ZZ|205.210.187.119
0|-Reserved AS-|ZZ|192.168.2.10
0|-Reserved AS-|ZZ|216.10.195.152
0|-Reserved AS-|ZZ|216.137.33.45
0|-Reserved AS-|ZZ|216.137.33.49
0|-Reserved AS-|ZZ|172.16.133.30
0|-Reserved AS-|ZZ|172.16.133.114
0|-Reserved AS-|ZZ|216.137.33.241
0|-Reserved AS-|ZZ|172.16.139.249
0|-Reserved AS-|ZZ|174.35.22.43
0|-Reserved AS-|ZZ|173.243.52.185
0|-Reserved AS-|ZZ|172.16.133.38
0|-Reserved AS-|ZZ|172.16.133.235
0|-Reserved AS-|ZZ|67.217.66.99
0|-Reserved AS-|ZZ|172.16.133.67
0|-Reserved AS-|ZZ|172.16.133.26
0|-Reserved AS-|ZZ|24.238.106.59
0|-Reserved AS-|ZZ|173.241.242.7
0|-Reserved AS-|ZZ|74.121.142.248
0|-Reserved AS-|ZZ|208.85.44.22
0|-Reserved AS-|ZZ|69.2.103.57
0|-Reserved AS-|ZZ|172.16.133.252
0|-Reserved AS-|ZZ|205.210.187.172
0|-Reserved AS-|ZZ|91.103.138.13
0|-Reserved AS-|ZZ|74.122.143.72
0|-Reserved AS-|ZZ|173.241.242.187
0|-Reserved AS-|ZZ|205.210.187.135
0|-Reserved AS-|ZZ|172.16.133.25
0|-Reserved AS-|ZZ|216.219.112.250
0|-Reserved AS-|ZZ|69.172.216.156
0|-Reserved AS-|ZZ|174.35.22.39
0|-Reserved AS-|ZZ|172.16.133.234
0|-Reserved AS-|ZZ|172.16.133.54
0|-Reserved AS-|ZZ|199.48.204.30
0|-Reserved AS-|ZZ|172.16.133.91
0|-Reserved AS-|ZZ|64.12.96.147
0|-Reserved AS-|ZZ|172.16.133.255
0|-Reserved AS-|ZZ|172.16.133.56
0|-Reserved AS-|ZZ|172.16.128.234
